timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user;programm
42346.003;1298;267;0;0;0;0;1;4;3
42348.906;1298;267;0;0;0;632328.3513469781;1;4;3
42350.925;1297;267;0;0;0;372804.1920810985;1;4;3
42351.967;1297;266;0;0;0;307694.07509316;1;4;3
42355.813;1296;266;0;0;0;186990.90947674937;1;4;3
42356.925;1296;265;0;0;0;167966.08237901086;1;4;3
42358.144;1296;264;0;0;0;151113.55943051644;1;4;3
42360.922;1295;263;0;0;0;122937.67274801702;1;4;3
42362.848;1294;262;0;0;0;108847.98942070201;1;4;3
42364.861;1294;261;0;0;0;97236.55722722491;1;4;3
42365.879;1293;260;0;0;0;92227.99173660103;1;4;3
42367.81;1292;259;0;0;0;84035.39955479492;1;4;3
42368.799;1292;258;0;0;0;80395.72785434112;1;4;3
42370.846;1291;258;0;0;0;73742.9529056602;1;4;3
42371.816;1291;257;0;0;0;70977.28782804924;1;4;3
42372.829;1290;257;0;0;0;68270.79051771667;1;4;3
42377.841;1290;256;0;0;0;57527.86844010919;1;4;3
42378.256;1289;255;0;0;0;56770.14994199193;1;4;3
42378.628;1288;255;0;0;0;56101.26589791771;1;4;3
42378.987;1288;254;0;0;0;55494.87153143996;1;4;3
42379.306;1287;253;0;0;0;54946.33711007334;1;4;3
42379.583;1286;252;0;0;0;54476.25707173351;1;4;3
42379.832;1286;251;0;0;0;54079.34584619865;1;4;3
42381.254;1285;250;0;0;0;51881.77241451754;1;4;3
42382.68;1285;249;0;0;0;49868.33100478592;1;4;3
42383.084;1285;248;0;0;0;49328.67604075153;1;4;3
42383.991;1284;247;0;0;0;48135.98032129151;1;4;3
42390.265;1283;246;0;0;0;41300.04131639851;1;4;3
42390.597;1282;246;0;0;0;40976.82908552802;1;4;3
42390.862;1281;244;0;0;0;40725.10571039996;1;4;3
42391.106;1281;243;0;0;0;40507.74447388992;1;4;3
42391.31;1280;242;0;0;0;40312.811985161854;1;4;3
42391.499;1279;241;0;0;0;40132.85056668841;1;4;3
42391.677;1278;240;0;0;0;39963.99678485879;1;4;3
42391.914;1278;238;0;0;0;39763.3996840206;1;4;3
42393.147;1277;237;0;0;0;38711.34547804077;1;4;3
42394.684;1276;236;0;0;0;37477.40846738609;1;4;3
42395.808;1275;235;0;0;0;36620.17054268566;1;4;3
42396.548;1274;234;0;0;0;36072.75275264789;1;4;3
