timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user;programm
21557.599;2220;328;0;0;0;0;1;4;1
21561.25;2220;329;0;0;0;859887.5579381078;1;4;1
21564.13;2220;330;0;0;0;480683.58866490686;1;4;1
21569.138;2220;330;0;0;0;272063.82854411186;1;4;1
21571.099;2220;331;0;0;0;232536.2399297332;1;4;1
21572.274;2221;331;0;0;0;213965.68970081446;1;4;1
21574.155;2221;332;0;0;0;189649.72937528184;1;4;1
21576.115;2222;332;0;0;0;169612.6787514256;1;4;1
21577.093;2222;333;0;0;0;161097.9011360612;1;4;1
21579.092;2223;333;0;0;0;146147.58795155014;1;4;1
21580.028;2223;334;0;0;0;140043.86886375953;1;4;1
21581.018;2224;334;0;0;0;134153.96646609704;1;4;1
21582.603;2224;335;0;0;0;125645.70747080432;1;4;1
21584.069;2225;335;0;0;0;118713.7611752238;1;4;1
21585.721;2225;336;0;0;0;111736.23815435135;1;4;1
21586.588;2226;336;0;0;0;108418.87132445916;1;4;1
21587.299;2226;337;0;0;0;105819.78431452317;1;4;1
21587.916;2227;337;0;0;0;103689.5454129801;1;4;1
21589.071;2228;337;0;0;0;99906.72537136103;1;4;1
21590.199;2228;338;0;0;0;96446.53744649986;1;4;1
21590.969;2229;338;0;0;0;94242.3079381899;1;4;1
21592.026;2229;339;0;0;0;91345.69315660461;1;4;1
21593.051;2230;339;0;0;0;88724.67155419689;1;4;1
21594.191;2231;339;0;0;0;85979.88882002715;1;4;1
21595.022;2231;340;0;0;0;84067.77065118674;1;4;1
21596.119;2232;340;0;0;0;81692.04047719578;1;4;1
21596.972;2233;341;0;0;0;79937.48486985461;1;4;1
21602.947;2234;342;0;0;0;69418.26915334443;1;4;1
21603.709;2235;342;0;0;0;68286.47603334188;1;4;1
21604.518;2235;342;0;0;0;67109.04771835277;1;4;1
21605.059;2236;342;0;0;0;66359.0246060806;1;4;1
21605.755;2236;343;0;0;0;65397.67744475902;1;4;1
21606.821;2237;343;0;0;0;63995.78714640955;1;4;1
21607.391;2238;344;0;0;0;63275.26203540017;1;4;1
21608.125;2239;344;0;0;0;62370.111751224875;1;4;1
21608.739;2240;345;0;0;0;61633.037656798304;1;4;1
21609.228;2241;345;0;0;0;61063.05184403353;1;4;1
21609.888;2242;346;0;0;0;60303.80481609653;1;4;1
21610.564;2243;346;0;0;0;59547.56436049607;1;4;1
21611.283;2244;347;0;0;0;58761.23536884266;1;4;1
21612.29;2246;347;0;0;0;57705.31138223234;1;4;1
21614.76;2247;348;0;0;0;55222.31671736983;1;4;1
21615.552;2247;348;0;0;0;54467.63490900517;1;4;1
21616.348;2248;349;0;0;0;53739.88310097001;1;4;1
21617.138;2250;350;0;0;0;53048.89424638545;1;4;1
21618.019;2251;350;0;0;0;52287.16585381319;1;4;1
21619.089;2253;351;0;0;0;51398.68308563046;1;4;1
21620.088;2254;352;0;0;0;50586.611534931755;1;4;1
21621.149;2256;352;0;0;0;49764.487205058525;1;4;1
21622.086;2258;353;0;0;0;49061.8072443839;1;4;1
21623.137;2258;353;0;0;0;48275.027675067664;1;4;1
21624.075;2260;353;0;0;0;47615.3265723282;1;4;1
21624.918;2262;354;0;0;0;47038.623894487326;1;4;1
21625.849;2264;355;0;0;0;46416.26658511617;1;4;1
21626.804;2266;355;0;0;0;45796.39963329429;1;4;1
21627.722;2268;356;0;0;0;45215.6635608601;1;4;1
21629.119;2269;357;0;0;0;44340.89692325427;1;4;1
21630.026;2271;358;0;0;0;43803.82384787544;1;4;1
21630.963;2273;358;0;0;0;43263.88282623778;1;4;1
21631.893;2275;359;0;0;0;42740.07542778121;1;4;1
21632.941;2278;360;0;0;0;42172.600850116876;1;4;1
21633.977;2281;361;0;0;0;41627.251746242306;1;4;1
21635.063;2282;362;0;0;0;41051.45697197614;1;4;1
21636.12;2285;363;0;0;0;40524.823345577024;1;4;1
21637.074;2287;363;0;0;0;40056.44717758998;1;4;1
21638.025;2290;364;0;0;0;39608.1851607261;1;4;1
