timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user;programm
26922.847;1098;930;0;0;0;0;1;4;2
26942.041;1099;930;0;0;0;80937.46791665975;1;4;2
26961.567;1100;930;0;0;0;40140.014164699445;1;4;2
26971.509;1100;930;0;0;0;31939.11776041187;1;4;2
26978.43;1101;930;0;0;0;27974.907055053834;1;4;2
26979.462;1101;931;0;0;0;27454.397670903578;1;4;2
26984.431;1102;931;0;0;0;25250.701932336684;1;4;2
26989.458;1103;931;0;0;0;23355.722802264158;1;4;2
26994.509;1104;931;0;0;0;21719.421660610074;1;4;2
26998.452;1105;932;0;0;0;20588.166668006535;1;4;2
27002.401;1106;932;0;0;0;19575.111184223195;1;4;2
27006.533;1107;932;0;0;0;18617.077738335498;1;4;2
27010.466;1108;932;0;0;0;17789.514350557227;1;4;2
27014.429;1109;933;0;0;0;17020.94700311755;1;4;2
27018.49;1110;933;0;0;0;16305.678050987519;1;4;2
27022.461;1111;933;0;0;0;15662.817270693124;1;4;2
27027.429;1111;933;0;0;0;14918.780283440983;1;4;2
27032.503;1112;933;0;0;0;14234.953940717378;1;4;2
27033.384;1112;934;0;0;0;14116.087470674851;1;4;2
27038.462;1113;934;0;0;0;13502.251256382488;1;4;2
27046.806;1114;934;0;0;0;12599.132876378522;1;4;2
27095.924;1115;934;0;0;0;9027.712289696334;1;4;2
27100.397;1115;934;0;0;0;8800.278005991397;1;4;2
27113.477;1116;934;0;0;0;8200.19473219491;1;4;2
27123.98;1117;934;0;0;0;7775.53756617056;1;4;2
27125.442;1117;935;0;0;0;7716.476443499005;1;4;2
27129.494;1118;935;0;0;0;7568.627692572605;1;4;2
27133.492;1119;935;0;0;0;7428.370866523714;1;4;2
27138.764;1120;935;0;0;0;7250.306681816523;1;4;2
27143.465;1121;935;0;0;0;7099.058400837219;1;4;2
27147.543;1121;935;0;0;0;6970.217833321045;1;4;2
27152.44;1122;935;0;0;0;6824.6678954761155;1;4;2
27157.359;1123;935;0;0;0;6684.57135217634;1;4;2
27161.496;1124;935;0;0;0;6571.69620780503;1;4;2
27165.371;1125;935;0;0;0;6469.650714012895;1;4;2
27168.461;1126;935;0;0;0;6391.177705355288;1;4;2
27172.251;1127;935;0;0;0;6296.932612732034;1;4;2
27175.273;1128;935;0;0;0;6224.390318785155;1;4;2
27177.43;1128;936;0;0;0;6169.313866949623;1;4;2
27178.321;1129;936;0;0;0;6150.609384976445;1;4;2
27180.399;1130;936;0;0;0;6103.774925874439;1;4;2
27183.437;1131;936;0;0;0;6035.375128906074;1;4;2
27185.419;1132;936;0;0;0;5992.557001487201;1;4;2
27188.412;1133;936;0;0;0;5927.728637985277;1;4;2
27190.349;1133;936;0;0;0;5884.805555646536;1;4;2
27192.347;1134;936;0;0;0;5843.848388413973;1;4;2
27194.466;1135;936;0;0;0;5800.909845658257;1;4;2
27197.338;1136;936;0;0;0;5742.839755760063;1;4;2
27198.357;1137;936;0;0;0;5724.215557876423;1;4;2
27201.511;1138;936;0;0;0;5662.014949209598;1;4;2
27202.302;1139;936;0;0;0;5648.57005009412;1;4;2
27204.35;1140;936;0;0;0;5610.039170315533;1;4;2
27206.385;1141;936;0;0;0;5572.321427911763;1;4;2
27208.405;1142;936;0;0;0;5535.4330550404275;1;4;2
27210.376;1143;936;0;0;0;5500.0010922666215;1;4;2
