timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user;programm
15650.824;943;733;0;0;0;0;1;1;1
15659.847;983;709;0;0;0;152369.03548131947;1;1;1
15669.822;1017;676;0;0;0;74511.76132761475;1;1;1
15680.918;1047;645;0;0;0;48230.71482448182;1;1;1
15690.97;1089;588;0;0;0;37502.15107613195;1;1;1
15700.99;1120;529;0;0;0;30888.397585248782;1;1;1
15711.342;1139;487;0;0;0;26057.110634653367;1;1;1
15721.347;1154;449;0;0;0;22672.797816399485;1;1;1
15731.886;1163;406;0;0;0;19946.099814131987;1;1;1
15741.726;1167;380;0;0;0;17887.90601198396;1;1;1
15751.933;1167;368;0;0;0;16109.388507139372;1;1;1
15762.069;1161;352;0;0;0;14634.837678820957;1;1;1
15772.156;1155;341;0;0;0;13402.275091945303;1;1;1
15782.226;1142;327;0;0;0;12327.106664446803;1;1;1
15792.476;1107;305;0;0;0;11292.996866350994;1;1;1
15802.529;1063;288;0;0;0;10367.202777520744;1;1;1
15813.188;1013;280;0;0;0;9490.272754112724;1;1;1
15822.919;956;280;0;0;0;8739.471116483885;1;1;1
15832.662;905;289;0;0;0;8086.254710606609;1;1;1
15843.203;861;310;0;0;0;7481.9009452328555;1;1;1
15853.256;815;334;0;0;0;6949.7061702085375;1;1;1
15863.234;769;368;0;0;0;6459.362378722816;1;1;1
15873.518;736;405;0;0;0;6031.632968459967;1;1;1
15883.647;698;451;0;0;0;5617.142898989496;1;1;1
15893.788;665;505;0;0;0;5228.4695609942755;1;1;1
15903.975;640;558;0;0;0;4877.789917508168;1;1;1
15913.916;632;593;0;0;0;4615.164709622753;1;1;1
15924.445;628;632;0;0;0;4357.362592556417;1;1;1
15934.483;628;670;0;0;0;4129.371633517675;1;1;1
15944.486;634;699;0;0;0;3941.733940365463;1;1;1
15954.465;641;714;0;0;0;3794.695836192819;1;1;1
15964.503;651;726;0;0;0;3667.225703014982;1;1;1
15975.097;663;737;0;0;0;3546.9817685026237;1;1;1
15985.052;696;750;0;0;0;3474.3633711410534;1;1;1
15995.337;733;757;0;0;0;3423.129204393126;1;1;1
16005.338;774;757;0;0;0;3399.65148220283;1;1;1
16015.443;817;757;0;0;0;3382.3782309444455;1;1;1
16025.814;864;742;0;0;0;3396.78963226002;1;1;1
16036.242;901;722;0;0;0;3399.8527653607725;1;1;1
16046.409;947;687;0;0;0;3439.598365592882;1;1;1
16056.126;978;660;0;0;0;3443.1131033532174;1;1;1
16066.298;1015;616;0;0;0;3469.0175029646366;1;1;1
16076.574;1056;546;0;0;0;3518.147099116664;1;1;1
16086.55;1079;506;0;0;0;3506.760174308474;1;1;1
16096.825;1096;465;0;0;0;3481.8528417715474;1;1;1
16106.84;1109;416;0;0;0;3455.7317432589316;1;1;1
16116.771;1116;387;0;0;0;3408.4379578397447;1;1;1
16127.259;1116;373;0;0;0;3340.4299060164635;1;1;1
16137.019;1116;364;0;0;0;3277.65659017781;1;1;1
16146.891;1114;357;0;0;0;3212.8007138139524;1;1;1
16157.659;1107;350;0;0;0;3137.9760744916052;1;1;1
16167.806;1100;343;0;0;0;3069.934380603998;1;1;1
