timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user;programm
23725.398;859;674;0;0;0;0;1;2;3
23725.398;858;676;0;0;0;inf;1;2;3
23725.398;858;681;0;0;0;inf;1;2;3
23731.889;855;704;0;0;0;184071.4734795838;1;2;3
23733.828;854;706;0;0;0;141507.8463886709;1;2;3
23733.828;840;765;0;0;0;135902.47800697634;1;2;3
23735.831;837;773;0;0;0;109083.41044888612;1;2;3
23744.049;814;848;0;0;0;57137.32962822336;1;2;3
23752.042;813;853;0;0;0;39817.739825973054;1;2;3
23760.318;811;859;0;0;0;30197.957722224728;1;2;3
23768.463;809;863;0;0;0;24374.770249713474;1;2;3
23776.497;808;868;0;0;0;20446.49005345764;1;2;3
23784.524;806;874;0;0;0;17559.58152088034;1;2;3
23792.526;801;885;0;0;0;15268.667634500036;1;2;3
23800.461;798;892;0;0;0;13542.12027302406;1;2;3
23800.461;796;897;0;0;0;13462.379539782556;1;2;3
23808.462;795;900;0;0;0;12123.977120902642;1;2;3
23816.499;793;907;0;0;0;10967.806745166248;1;2;3
23825.043;790;916;0;0;0;9920.565751415746;1;2;3
23831.936;787;924;0;0;0;9185.896349042861;1;2;3
23840.03;784;932;0;0;0;8449.661257536913;1;2;3
23847.994;780;941;0;0;0;7802.832461882614;1;2;3
23856.026;778;945;0;0;0;7280.275946984041;1;2;3
23861.365;776;949;0;0;0;6952.966529125321;1;2;3
23869.778;772;959;0;0;0;6454.578286563958;1;2;3
23878.067;767;968;0;0;0;6015.498205943069;1;2;3
23886.075;762;977;0;0;0;5629.828054017454;1;2;3
23894.074;761;980;0;0;0;5338.564144677445;1;2;3
23902.075;755;987;0;0;0;5024.428551326479;1;2;3
23910.075;750;995;0;0;0;4734.928482287141;1;2;3
23918.079;747;999;0;0;0;4501.089709727409;1;2;3
23921.277;745;1002;0;0;0;4401.072716902482;1;2;3
23929.284;741;1009;0;0;0;4170.891492155522;1;2;3
23937.292;740;1011;0;0;0;3997.914012491219;1;2;3
23945.298;736;1018;0;0;0;3798.0082587080765;1;2;3
23953.296;734;1022;0;0;0;3635.4426478880323;1;2;3
23961.304;734;1024;0;0;0;3501.5511437359396;1;2;3
23969.299;734;1025;0;0;0;3381.682454306042;1;2;3
23977.299;734;1026;0;0;0;3269.345717513325;1;2;3
23985.299;733;1028;0;0;0;3155.6621195701073;1;2;3
23993.428;733;1028;0;0;0;3059.9550070454443;1;2;3
24001.317;733;1030;0;0;0;2963.3574452532384;1;2;3
24005.442;733;1031;0;0;0;2915.203774009781;1;2;3
24013.378;733;1032;0;0;0;2830.4772898665274;1;2;3
24021.534;733;1033;0;0;0;2748.241283945533;1;2;3
24029.432;733;1034;0;0;0;2672.6691867481013;1;2;3
24039.526;733;1035;0;0;0;2582.7312523646137;1;2;3
24046.563;734;1038;0;0;0;2517.0061946190317;1;2;3
24054.655;734;1039;0;0;0;2451.2420233709886;1;2;3
24062.74;734;1040;0;0;0;2388.672631569827;1;2;3
24062.74;736;1043;0;0;0;2382.578333725305;1;2;3
24070.796;738;1044;0;0;0;2328.557722929846;1;2;3
24079.068;738;1045;0;0;0;2270.4200293830054;1;2;3
24087.37;739;1046;0;0;0;2217.2903833223295;1;2;3
24095.372;743;1047;0;0;0;2175.7815644012453;1;2;3
24103.437;743;1047;0;0;0;2129.3639241130845;1;2;3
24113.521;745;1048;0;0;0;2075.449379268582;1;2;3
24118.062;746;1048;0;0;0;2053.8032171172576;1;2;3
24128.614;748;1049;0;0;0;2001.4255767052218;1;2;3
24137.229;749;1050;0;0;0;1958.6523255527406;1;2;3
24172.585;750;1050;0;0;0;1805.87177509937;1;2;3
24184.792;750;1050;0;0;0;1757.886218564809;1;2;3
24196.799;751;1050;0;0;0;1715.081612758597;1;2;3
24205.451;752;1050;0;0;0;1686.1058317157256;1;2;3
24213.206;752;1050;0;0;0;1659.3007142823185;1;2;3
24220.48;754;1051;0;0;0;1636.057695220134;1;2;3
24220.938;756;1051;0;0;0;1638.3032908679902;1;2;3
24229.738;756;1051;0;0;0;1609.717279527152;1;2;3
24237.765;757;1051;0;0;0;1586.316267308949;1;2;3
24246.453;758;1052;0;0;0;1559.171878540569;1;2;3
24254.523;758;1052;0;0;0;1535.392021115911;1;2;3
24262.327;759;1052;0;0;0;1514.8136983658344;1;2;3
24270.863;760;1052;0;0;0;1492.8192718959801;1;2;3
24278.395;761;1052;0;0;0;1474.1745114568885;1;2;3
24287.62;761;1052;0;0;0;1449.98609501607;1;2;3
24295.979;762;1052;0;0;0;1430.3800130200248;1;2;3
24296.145;763;1052;0;0;0;1431.599975636577;1;2;3
24304.589;763;1052;0;0;0;1410.7287428407026;1;2;3
25327.772;763;1052;0;0;0;0;2;2;3
27094.409;763;1052;0;0;0;242.52856143676865;1;2;3
27107.051;763;1052;0;0;0;241.62189062409698;1;2;3
27115.322;763;1052;0;0;0;241.03236275935666;1;2;3
27115.322;763;1051;0;0;0;241.41168856902294;1;2;3
27129.0;763;1050;0;0;0;240.81838160659765;1;2;3
27137.105;763;1049;0;0;0;240.62129350676236;1;2;3
27138.492;762;1049;0;0;0;240.25122073989172;1;2;3
27148.052;761;1047;0;0;0;240.0551815191999;1;2;3
27156.063;761;1046;0;0;0;239.86560496732918;1;2;3
27164.066;761;1045;0;0;0;239.67654492516428;1;2;3
27172.145;760;1044;0;0;0;239.21470977935073;1;2;3
27182.438;759;1043;0;0;0;238.60208655272524;1;2;3
27186.545;759;1042;0;0;0;238.6838368977675;1;2;3
27195.776;759;1041;0;0;0;238.41195353691347;1;2;3
27204.898;758;1040;0;0;0;237.88485799909068;1;2;3
27212.403;758;1040;0;0;0;237.3728639356227;1;2;3
27212.403;758;1039;0;0;0;237.73274516168124;1;2;3
27221.173;757;1038;0;0;0;237.23328145660196;1;2;3
27231.667;757;1038;0;0;0;236.5232600476326;1;2;3
27239.811;757;1037;0;0;0;236.33086550340457;1;2;3
27250.222;756;1036;0;0;0;235.72845561851352;1;2;3
27250.222;756;1035;0;0;0;236.0817509458516;1;2;3
27262.211;756;1035;0;0;0;235.28148694770135;1;2;3
27266.321;756;1033;0;0;0;235.7091811584218;1;2;3
27281.424;755;1032;0;0;0;234.80139888618507;1;2;3
27286.744;755;1032;0;0;0;234.4506485120079;1;2;3
27295.414;754;1032;0;0;0;233.62801554169522;1;2;3
27295.414;754;1031;0;0;0;233.97417990896545;1;2;3
27303.527;754;1030;0;0;0;233.78820525674405;1;2;3
27312.076;753;1030;0;0;0;232.9796878311091;1;2;3
27320.085;753;1029;0;0;0;232.80308651195273;1;2;3
27331.872;753;1029;0;0;0;232.0422187001464;1;2;3
