timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user;programm
17466.886;943;660;0;0;0;0;1;2;1
17466.886;942;660;0;0;0;inf;1;2;1
17471.824;942;662;0;0;0;269725.45075732516;1;2;1
17474.067;941;662;0;0;0;185377.69189888777;1;2;1
17531.63;941;663;0;0;0;20553.24725293722;1;2;1
17539.616;940;663;0;0;0;18286.710864591703;1;2;1
17547.604;940;664;0;0;0;16470.843090548493;1;2;1
17555.502;940;665;0;0;0;14997.219511130097;1;2;1
17563.548;939;665;0;0;0;13741.558111584634;1;2;1
17571.502;939;665;0;0;0;12696.781469201595;1;2;1
17587.497;939;666;0;0;0;11008.824851985368;1;2;1
17595.584;939;666;0;0;0;10317.063001933264;1;2;1
17603.625;939;667;0;0;0;9706.69169475368;1;2;1
17622.992;939;667;0;0;0;8502.449077222678;1;2;1
17637.644;938;667;0;0;0;7768.749012087329;1;2;1
17934.188;938;668;0;0;0;2837.7211594792825;1;2;1
17940.569;938;669;0;0;0;2798.4296613164793;1;2;1
17948.762;937;669;0;0;0;2749.3818426267635;1;2;1
17956.908;936;671;0;0;0;2700.1679838169034;1;2;1
17964.882;936;672;0;0;0;2655.913128183268;1;2;1
17969.153;936;672;0;0;0;2633.3287159673137;1;2;1
17977.17;935;675;0;0;0;2587.573368354897;1;2;1
17985.184;934;676;0;0;0;2545.210275165015;1;2;1
17993.256;933;678;0;0;0;2502.882418919786;1;2;1
18001.275;933;680;0;0;0;2463.394699433993;1;2;1
18009.293;931;682;0;0;0;2422.4579373199326;1;2;1
18017.3;930;684;0;0;0;2384.0403875654333;1;2;1
18022.493;929;686;0;0;0;2358.6017561858444;1;2;1
18030.539;929;687;0;0;0;2324.0037356452517;1;2;1
18038.613;928;688;0;0;0;2289.025083695416;1;2;1
18046.626;927;691;0;0;0;2253.4345378851494;1;2;1
18054.539;926;693;0;0;0;2220.07944790488;1;2;1
18062.67;925;696;0;0;0;2185.9061601110175;1;2;1
18067.046;925;696;0;0;0;2169.967868061154;1;2;1
18075.19;923;699;0;0;0;2135.9364018129804;1;2;1
18083.087;922;699;0;0;0;2107.410511260117;1;2;1
18095.513;921;701;0;0;0;2062.9077686767723;1;2;1
18103.532;919;705;0;0;0;2031.2815179938991;1;2;1
18103.532;918;708;0;0;0;2027.5882006623178;1;2;1
18111.542;916;711;0;0;0;1997.6275569399463;1;2;1
18119.532;914;713;0;0;0;1969.2961918576568;1;2;1
18127.541;911;720;0;0;0;1936.2704974198869;1;2;1
18135.536;910;722;0;0;0;1910.3663072961203;1;2;1
18143.648;908;726;0;0;0;1882.006790528207;1;2;1
18151.733;905;731;0;0;0;1852.480677650301;1;2;1
18159.926;903;737;0;0;0;1823.5020582222205;1;2;1
18167.921;901;744;0;0;0;1794.8013750585908;1;2;1
18175.889;898;751;0;0;0;1765.7179969298143;1;2;1
18183.942;897;754;0;0;0;1742.3696957716047;1;2;1
18191.827;894;761;0;0;0;1714.5751282621434;1;2;1
18199.932;893;764;0;0;0;1692.1229587994337;1;2;1
18207.85;890;772;0;0;0;1664.4183761648164;1;2;1
18215.813;886;779;0;0;0;1636.969472143055;1;2;1
18223.887;884;786;0;0;0;1611.6817168184837;1;2;1
18231.813;883;789;0;0;0;1591.499849924837;1;2;1
18232.725;881;796;0;0;0;1581.7428888921722;1;2;1
18240.822;878;801;0;0;0;1558.1055241378672;1;2;1
18248.934;876;804;0;0;0;1537.5245260787271;1;2;1
18256.824;875;807;0;0;0;1518.6977204206516;1;2;1
18262.369;872;812;0;0;0;1501.1080584985998;1;2;1
18270.48;870;815;0;0;0;1481.5916607005738;1;2;1
18278.605;867;823;0;0;0;1457.2550979893551;1;2;1
18286.593;860;834;0;0;0;1427.335631564918;1;2;1
18291.912;858;838;0;0;0;1412.879682080338;1;2;1
18299.94;856;841;0;0;0;1394.8985507171617;1;2;1
18307.942;854;843;0;0;0;1378.1500590529308;1;2;1
18316.05;850;851;0;0;0;1354.6048874271344;1;2;1
18323.941;848;856;0;0;0;1336.0680933257304;1;2;1
18332.065;842;868;0;0;0;1307.8712638368477;1;2;1
18339.941;839;872;0;0;0;1289.9833831716398;1;2;1
18348.061;832;884;0;0;0;1261.4782594890025;1;2;1
18355.938;830;889;0;0;0;1244.119349454161;1;2;1
18364.06;828;893;0;0;0;1227.5829754635006;1;2;1
18367.511;826;897;0;0;0;1217.5910121536042;1;2;1
18380.869;820;906;0;0;0;1186.7023149266781;1;2;1
18388.201;816;910;0;0;0;1170.3289582032048;1;2;1
18388.699;814;913;0;0;0;1165.2973038977188;1;2;1
