timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user;programm
68744.146;192;1024;0;0;0;0;1;3;3
68752.154;202;1019;0;0;0;37019.31448959847;1;3;3
68760.146;240;977;0;0;0;27136.15841916464;1;3;3
68768.146;286;916;0;0;0;23869.58199140581;1;3;3
68776.146;320;865;0;0;0;20719.83405912074;1;3;3
68784.146;334;841;0;0;0;17494.909974046735;1;3;3
68792.145;342;823;0;0;0;15096.576811562005;1;3;3
68800.145;345;806;0;0;0;13301.459753933992;1;3;3
68808.146;351;784;0;0;0;12042.2534909636;1;3;3
68816.147;354;755;0;0;0;11117.300379372826;1;3;3
68824.146;360;726;0;0;0;10367.949411527816;1;3;3
68832.147;370;692;0;0;0;9798.190289151999;1;3;3
68840.147;382;657;0;0;0;9315.193143452332;1;3;3
68848.146;400;618;0;0;0;8935.150154531466;1;3;3
68856.144;414;586;0;0;0;8533.550157752707;1;3;3
68864.145;428;554;0;0;0;8172.294101392491;1;3;3
68872.146;438;532;0;0;0;7790.045856933385;1;3;3
68880.167;451;514;0;0;0;7441.847210206328;1;3;3
68888.147;466;496;0;0;0;7138.150244937522;1;3;3
68896.149;488;473;0;0;0;6899.46724639819;1;3;3
68904.148;521;457;0;0;0;6696.557242047644;1;3;3
68912.145;560;440;0;0;0;6535.308640060138;1;3;3
68920.151;615;418;0;0;0;6450.472285939031;1;3;3
68928.144;664;395;0;0;0;6362.041088212724;1;3;3
68936.151;720;368;0;0;0;6311.201055393011;1;3;3
68944.147;783;332;0;0;0;6301.367147431424;1;3;3
68952.148;833;304;0;0;0;6244.229140199603;1;3;3
68960.146;898;257;0;0;0;6255.647311455654;1;3;3
68968.147;950;215;0;0;0;6220.750536104325;1;3;3
68976.145;998;177;0;0;0;6171.674298192845;1;3;3
68984.146;1036;148;0;0;0;6090.794511209336;1;3;3
68992.147;1057;123;0;0;0;5963.8478447180905;1;3;3
69000.146;1067;109;0;0;0;5809.748172522196;1;3;3
69008.147;1074;99;0;0;0;5655.36533189046;1;3;3
69016.145;1078;90;0;0;0;5501.750058799596;1;3;3
69024.144;1078;87;0;0;0;5345.209327170963;1;3;3
69032.145;1078;79;0;0;0;5198.252471601962;1;3;3
69055.146;1075;72;0;0;0;4807.994405849172;1;3;3
69056.148;1065;61;0;0;0;4771.1383767825755;1;3;3
69057.149;1053;48;0;0;0;4730.056476937278;1;3;3
69112.147;1045;42;0;0;0;4008.2112887923654;1;3;3
69113.148;984;33;0;0;0;3882.6137011730157;1;3;3
69120.147;971;40;0;0;0;3786.201280698752;1;3;3
69128.146;949;55;0;0;0;3667.177106989486;1;3;3
69144.666;925;73;0;0;0;3473.752369194831;1;3;3
69145.669;903;92;0;0;0;3426.05492368764;1;3;3
69181.67;880;114;0;0;0;3106.08420790887;1;3;3
69181.67;839;170;0;0;0;3032.5734146665486;1;3;3
69183.667;826;193;0;0;0;2992.9677047975697;1;3;3
69191.667;821;207;0;0;0;2927.69062837419;1;3;3
69199.667;814;219;0;0;0;2862.369115606963;1;3;3
69207.67;807;230;0;0;0;2799.4428658773545;1;3;3
69215.667;800;242;0;0;0;2738.1082086303863;1;3;3
69223.668;792;252;0;0;0;2678.1082422376694;1;3;3
69231.67;787;259;0;0;0;2624.9732794241404;1;3;3
69239.667;781;268;0;0;0;2571.4280719342046;1;3;3
69247.67;778;273;0;0;0;2524.7983854474846;1;3;3
69255.669;778;274;0;0;0;2484.895946682514;1;3;3
69263.668;778;276;0;0;0;2445.8033601033712;1;3;3
69271.668;778;277;0;0;0;2408.299614457855;1;3;3
69295.671;778;277;0;0;0;2303.4876555333603;1;3;3
69303.669;778;278;0;0;0;2270.1704498897298;1;3;3
69311.671;778;280;0;0;0;2237.3872659294784;1;3;3
69319.682;778;280;0;0;0;2206.2446277845816;1;3;3
69327.67;778;281;0;0;0;2175.664211390279;1;3;3
69335.667;778;283;0;0;0;2145.4994064978005;1;3;3
69343.666;778;284;0;0;0;2116.5007831529115;1;3;3
69375.671;775;285;0;0;0;2005.9741061638433;1;3;3
69383.696;773;285;0;0;0;1978.8918033687364;1;3;3
69391.67;768;285;0;0;0;1949.8158727132848;1;3;3
69399.675;763;284;0;0;0;1921.7200578536992;1;3;3
69407.67;758;284;0;0;0;1894.0100592617443;1;3;3
69415.676;754;284;0;0;0;1867.8429269399535;1;3;3
69423.68;752;284;0;0;0;1844.0745096722019;1;3;3
69431.683;751;284;0;0;0;1821.7368330625477;1;3;3
69487.669;750;285;0;0;0;1683.451439286554;1;3;3
69495.678;750;287;0;0;0;1664.902887709113;1;3;3
69503.669;750;292;0;0;0;1645.862466334328;1;3;3
69511.671;750;295;0;0;0;1627.7852045679288;1;3;3
69519.67;750;303;0;0;0;1608.5250728399192;1;3;3
69527.681;753;311;0;0;0;1591.8730606589315;1;3;3
69535.67;753;317;0;0;0;1573.896516158545;1;3;3
69543.669;753;320;0;0;0;1557.19052299547;1;3;3
69551.67;754;323;0;0;0;1541.551892427671;1;3;3
69559.669;754;325;0;0;0;1525.7932550460064;1;3;3
69567.671;754;325;0;0;0;1510.9674785038517;1;3;3
69575.669;755;328;0;0;0;1496.2167707536191;1;3;3
69583.671;756;331;0;0;0;1481.7323672419532;1;3;3
69591.669;757;336;0;0;0;1466.8850357619367;1;3;3
69599.669;757;337;0;0;0;1452.85177409555;1;3;3
69607.67;758;338;0;0;0;1439.781602727375;1;3;3
69615.672;759;339;0;0;0;1426.9496690972403;1;3;3
69647.676;758;340;0;0;0;1375.4280654543127;1;3;3
69655.669;755;340;0;0;0;1361.3622150586505;1;3;3
69664.675;752;341;0;0;0;1345.764402576494;1;3;3
69671.671;746;341;0;0;0;1331.6969060659435;1;3;3
69679.67;745;341;0;0;0;1319.6652042834187;1;3;3
69687.67;740;340;0;0;0;1305.5779672652832;1;3;3
69695.67;730;333;0;0;0;1290.333151109312;1;3;3
69703.669;724;323;0;0;0;1278.657605424684;1;3;3
69711.677;713;312;0;0;0;1264.3531446754837;1;3;3
69719.669;704;298;0;0;0;1252.228464554076;1;3;3
69728.676;692;286;0;0;0;1236.7148298075322;1;3;3
69735.669;674;266;0;0;0;1222.3686194289917;1;3;3
69743.672;650;240;0;0;0;1204.8717361229617;1;3;3
69751.67;626;215;0;0;0;1187.3485468857518;1;3;3
69759.67;601;191;0;0;0;1169.348611107486;1;3;3
69767.673;586;173;0;0;0;1155.566965635545;1;3;3
69775.671;575;162;0;0;0;1142.877484212052;1;3;3
69783.671;560;150;0;0;0;1128.6505032594953;1;3;3
69791.67;553;142;0;0;0;1117.8105593477094;1;3;3
69799.671;539;133;0;0;0;1104.1417963527213;1;3;3
69807.67;529;126;0;0;0;1092.2545503543522;1;3;3
69815.675;517;116;0;0;0;1080.017089134679;1;3;3
69823.671;509;109;0;0;0;1069.3594656911548;1;3;3
