timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user;programm
28882.119;618;854;0;0;0;0;1;3;2
28889.117;567;851;0;0;0;120283.08842790824;1;3;2
28897.116;442;845;0;0;0;51329.70128832482;1;3;2
28906.124;290;845;0;0;0;28901.007850107962;1;3;2
28914.117;158;839;0;0;0;20547.606698978278;1;3;2
28921.124;48;823;0;0;0;16932.84821840672;1;3;2
28929.722;-58;807;0;0;0;14299.557668378504;1;3;2
28965.177;-128;788;0;0;0;8570.09057042773;1;3;2
28967.178;-309;736;0;0;0;9587.35289451357;1;3;2
28969.18;-369;713;0;0;0;9874.337579562378;1;3;2
28977.185;-435;686;0;0;0;9582.51593090136;1;3;2
28985.177;-491;655;0;0;0;9323.710214754483;1;3;2
29018.179;-535;623;0;0;0;7383.92735154748;1;3;2
29020.183;-662;537;0;0;0;8133.863763754851;1;3;2
29025.191;-696;502;0;0;0;8101.934974831837;1;3;2
29033.181;-740;455;0;0;0;7976.280334695381;1;3;2
29042.185;-781;406;0;0;0;7793.932417958314;1;3;2
29049.186;-815;362;0;0;0;7675.661837900078;1;3;2
29057.182;-844;321;0;0;0;7492.683524444874;1;3;2
29065.179;-867;290;0;0;0;7285.739557570255;1;3;2
29073.179;-886;266;0;0;0;7071.617569879224;1;3;2
29081.183;-902;239;0;0;0;6865.363028319139;1;3;2
29089.182;-918;217;0;0;0;6668.967647354417;1;3;2
29097.182;-935;190;0;0;0;6492.035447247594;1;3;2
29106.183;-953;167;0;0;0;6298.318413427875;1;3;2
29113.178;-966;152;0;0;0;6153.066929716995;1;3;2
29131.179;-980;137;0;0;0;5752.767815914622;1;3;2
29132.184;-986;132;0;0;0;5747.956983279582;1;3;2
29137.178;-990;129;0;0;0;5647.248466724768;1;3;2
29145.18;-991;129;0;0;0;5478.07940978359;1;3;2
29153.18;-992;128;0;0;0;5319.267762376674;1;3;2
29161.181;-994;127;0;0;0;5172.008814423378;1;3;2
29169.18;-997;127;0;0;0;5035.093039709145;1;3;2
29177.192;-999;126;0;0;0;4903.35127576906;1;3;2
29185.178;-1003;124;0;0;0;4783.833435014083;1;3;2
29193.18;-1007;123;0;0;0;4669.948909894324;1;3;2
29201.18;-1012;121;0;0;0;4564.259194173161;1;3;2
29209.188;-1016;121;0;0;0;4461.014735927231;1;3;2
29217.183;-1019;121;0;0;0;4360.80937324785;1;3;2
29225.191;-1021;120;0;0;0;4263.326981061603;1;3;2
29233.182;-1022;120;0;0;0;4168.27278221683;1;3;2
29241.187;-1022;120;0;0;0;4075.3460284497282;1;3;2
29257.182;-1023;120;0;0;0;3903.4107109517636;1;3;2
29265.19;-1024;120;0;0;0;3823.6354742615945;1;3;2
29273.949;-1024;121;0;0;0;3737.9516483783796;1;3;2
29281.951;-1024;123;0;0;0;3662.7258229734757;1;3;2
29289.949;-1024;126;0;0;0;3590.270281332489;1;3;2
29297.949;-1024;132;0;0;0;3519.9269515626293;1;3;2
29305.948;-1024;138;0;0;0;3452.188793612062;1;3;2
29313.948;-1024;146;0;0;0;3386.435613438585;1;3;2
29321.947;-1024;153;0;0;0;3323.220226568633;1;3;2
29328.947;-1024;159;0;0;0;3269.7252437873663;1;3;2
29361.951;-1024;162;0;0;0;3044.13875344627;1;3;2
29362.948;-1024;167;0;0;0;3036.6554055742467;1;3;2
29369.946;-1024;168;0;0;0;2992.85865741626;1;3;2
29385.95;-1026;170;0;0;0;2900.118084630113;1;3;2
29393.95;-1026;171;0;0;0;2854.56078798877;1;3;2
29400.946;-1026;172;0;0;0;2815.8428856695746;1;3;2
29409.959;-1027;173;0;0;0;2768.8688939173444;1;3;2
29417.955;-1028;174;0;0;0;2728.640784627793;1;3;2
29432.959;-1028;176;0;0;0;2653.882366585782;1;3;2
29593.472;-1028;176;0;0;0;0;2;3;2
29641.468;-1026;177;0;0;0;1923.1446602021695;1;3;2
29649.98;-1017;178;0;0;0;1893.4505148935275;1;3;2
29657.997;-1006;179;0;0;0;1863.8372270909545;1;3;2
29665.994;-994;181;0;0;0;1833.8865579196884;1;3;2
29673.998;-982;183;0;0;0;1804.5836502566076;1;3;2
29681.997;-965;184;0;0;0;1771.837749128553;1;3;2
29689.995;-949;184;0;0;0;1740.8718003975175;1;3;2
29697.996;-926;185;0;0;0;1704.7420211861395;1;3;2
29705.995;-902;185;0;0;0;1668.9378233861491;1;3;2
29713.994;-874;185;0;0;0;1631.0075237658496;1;3;2
29721.991;-828;183;0;0;0;1581.0816966045202;1;3;2
29729.993;-786;181;0;0;0;1536.0905339491478;1;3;2
29737.994;-727;179;0;0;0;1481.4805252464823;1;3;2
29745.992;-662;179;0;0;0;1425.9565511040605;1;3;2
29753.993;-597;179;0;0;0;1374.2451346100331;1;3;2
29761.992;-524;179;0;0;0;1322.370809365073;1;3;2
29769.991;-454;179;0;0;0;1276.892769346771;1;3;2
29777.993;-383;179;0;0;0;1235.8861468181863;1;3;2
29785.992;-316;179;0;0;0;1201.322520411296;1;3;2
29793.996;-247;186;0;0;0;1169.6842616708577;1;3;2
29801.996;-181;194;0;0;0;1143.4559902971932;1;3;2
29810.003;-110;203;0;0;0;1121.104854848709;1;3;2
29818.003;-54;209;0;0;0;1105.5190789877415;1;3;2
29826.004;6;217;0;0;0;1092.9238170305764;1;3;2
29835.015;71;219;0;0;0;1084.6888491772313;1;3;2
29841.993;132;219;0;0;0;1083.0261685920195;1;3;2
29850.007;196;219;0;0;0;1084.4401383915952;1;3;2
29858.001;259;211;0;0;0;1091.1159861425717;1;3;2
29865.997;321;208;0;0;0;1099.8674520028885;1;3;2
29873.996;374;199;0;0;0;1109.7025346327325;1;3;2
29881.007;402;195;0;0;0;1112.4611566168126;1;3;2
29888.993;425;185;0;0;0;1113.7893080739589;1;3;2
29897.993;439;175;0;0;0;1110.7892385398989;1;3;2
29905.991;450;163;0;0;0;1108.0834203950756;1;3;2
29914.001;458;149;0;0;0;1104.4386712691507;1;3;2
29921.994;465;135;0;0;0;1100.3440399246924;1;3;2
29929.999;471;121;0;0;0;1095.7680514427493;1;3;2
29937.996;472;106;0;0;0;1089.2605962388784;1;3;2
29944.996;478;86;0;0;0;1085.9818532032546;1;3;2
29952.995;482;70;0;0;0;1080.4299305088584;1;3;2
29961.995;484;51;0;0;0;1073.1171589801995;1;3;2
29968.992;485;36;0;0;0;1067.1110693332128;1;3;2
29977.992;489;23;0;0;0;1060.180062766175;1;3;2
29985.993;492;14;0;0;0;1053.772174367294;1;3;2
29993.993;493;8;0;0;0;1046.621950027391;1;3;2
30001.998;497;-1;0;0;0;1040.682942613671;1;3;2
30009.528;498;-2;0;0;0;1034.109614276433;1;3;2
30017.523;499;-5;0;0;0;1027.1964732625545;1;3;2
30025.533;501;-5;0;0;0;1020.750222070774;1;3;2
30033.522;501;0;0;0;0;1013.6770568683303;1;3;2
30041.523;502;-2;0;0;0;1007.0507701700212;1;3;2
30049.525;503;-2;0;0;0;1000.5165209802178;1;3;2
30058.522;505;0;0;0;0;993.5994631164662;1;3;2
30145.261;504;0;0;0;0;925.0279836349174;1;3;2
30161.325;504;0;0;0;0;913.4116766999035;1;3;2
30169.312;503;2;0;0;0;907.407816614472;1;3;2
30177.314;502;4;0;0;0;901.4654567744348;1;3;2
