timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user;programm
29645.613;515;1049;0;0;0;0;2;1;3
30123.141;515;1048;0;0;0;0;1;1;3
30133.251;518;1044;0;0;0;72814.05742429859;1;1;3
30143.397;525;1033;0;0;0;37339.54318745164;1;1;3
30153.509;541;1010;0;0;0;26263.3378678024;1;1;3
30163.492;558;985;0;0;0;20803.57499896454;1;1;3
30173.505;583;954;0;0;0;17684.755478335355;1;1;3
30183.437;608;912;0;0;0;15746.428966554891;1;1;3
30194.419;629;882;0;0;0;13897.39637459005;1;1;3
30204.638;643;862;0;0;0;12476.84518548085;1;1;3
30213.966;665;837;0;0;0;11574.762388385227;1;1;3
30224.663;687;811;0;0;0;10689.844054173182;1;1;3
30234.875;716;773;0;0;0;10120.256360671989;1;1;3
30245.221;738;740;0;0;0;9554.685655479254;1;1;3
30255.274;751;725;0;0;0;8960.825020144479;1;1;3
30265.249;780;696;0;0;0;8582.461376092855;1;1;3
30275.323;813;657;0;0;0;8293.23584702413;1;1;3
30285.649;840;629;0;0;0;7960.430514869853;1;1;3
30295.271;870;598;0;0;0;7713.438686889757;1;1;3
30306.076;906;565;0;0;0;7465.500232621853;1;1;3
30315.799;935;536;0;0;0;7249.052647982464;1;1;3
30326.035;972;497;0;0;0;7076.228018075825;1;1;3
30336.486;1005;463;0;0;0;6887.513421359648;1;1;3
30346.347;1036;435;0;0;0;6716.664366337882;1;1;3
30356.87;1056;416;0;0;0;6496.511752036536;1;1;3
30366.035;1069;403;0;0;0;6303.053484493246;1;1;3
30376.868;1079;393;0;0;0;6071.717495183787;1;1;3
30386.913;1085;387;0;0;0;5862.187883187786;1;1;3
30397.099;1092;378;0;0;0;5670.279708447522;1;1;3
30620.573;1093;378;0;0;0;3124.289585034179;1;1;3
30630.926;1099;371;0;0;0;3072.2225457235345;1;1;3
30640.859;1117;351;0;0;0;3046.7260575486507;1;1;3
30651.185;1151;317;0;0;0;3046.4824625140745;1;1;3
30661.219;1203;259;0;0;0;3078.361881801765;1;1;3
30671.554;1257;198;0;0;0;3107.5528904794637;1;1;3
30680.984;1321;139;0;0;0;3150.753806460299;1;1;3
30690.956;1392;72;0;0;0;3197.3290482553202;1;1;3
30700.892;1455;18;0;0;0;3228.9644778978586;1;1;3
30711.256;1505;-21;0;0;0;3238.755370770199;1;1;3
30721.301;1551;-35;0;0;0;3245.1337752067075;1;1;3
30732.279;1589;-26;0;0;0;3236.9412155824275;1;1;3
30742.475;1612;-20;0;0;0;3213.767025371264;1;1;3
30752.922;1642;-23;0;0;0;3199.1068440680438;1;1;3
30762.136;1664;-14;0;0;0;3181.2275196404494;1;1;3
30772.99;1675;-7;0;0;0;3142.020118848568;1;1;3
30782.97;1684;-4;0;0;0;3105.7079927871546;1;1;3
30792.867;1691;-4;0;0;0;3068.4077628867362;1;1;3
30803.049;1694;-2;0;0;0;3026.092797857718;1;1;3
30813.382;1697;-2;0;0;0;2984.3713078206392;1;1;3
31148.859;1697;0;0;0;0;2008.2872746558155;1;1;3
31159.008;1696;0;0;0;0;1987.8156877026513;1;1;3
31168.988;1696;1;0;0;0;1968.8467148162474;1;1;3
31179.38;1695;2;0;0;0;1948.6954407667658;1;1;3
31189.452;1694;3;0;0;0;1929.515391773893;1;1;3
31199.539;1693;4;0;0;0;1910.6673549434897;1;1;3
31209.416;1692;5;0;0;0;1892.53478270967;1;1;3
31219.549;1691;5;0;0;0;1874.2933904320805;1;1;3
31229.521;1691;6;0;0;0;1857.3976311967062;1;1;3
31239.6;1690;7;0;0;0;1839.8898924843652;1;1;3
31250.148;1690;7;0;0;0;1822.669805487634;1;1;3
31260.52;1689;8;0;0;0;1805.3220039202936;1;1;3
31280.511;1689;8;0;0;0;1774.1390700440304;1;1;3
31291.16;1688;8;0;0;0;1757.2598135325525;1;1;3
31310.449;1688;9;0;0;0;1728.7078911900865;1;1;3
31321.465;1688;9;0;0;0;1712.8161572939534;1;1;3
31341.494;1688;9;0;0;0;1684.6584765442522;1;1;3
31392.517;1687;9;0;0;0;1616.2952344635855;1;1;3
31747.248;1687;9;0;0;0;0;2;1;3
32264.846;1686;10;0;0;0;957.5826623578852;1;1;3
32277.811;1684;11;0;0;0;951.0554190252448;1;1;3
32285.789;1681;12;0;0;0;946.4047479131291;1;1;3
32295.77;1674;14;0;0;0;939.4067562898407;1;1;3
32305.738;1659;20;0;0;0;929.4649138544386;1;1;3
32315.71;1645;26;0;0;0;919.9920292769787;1;1;3
32325.683;1629;30;0;0;0;909.8865639118284;1;1;3
