timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user;programm
113275.831;516;1077;0;0;0;0;1;1;1
113284.971;515;1075;0;0;0;80084.61271017321;1;1;1
113295.286;514;1073;0;0;0;37738.45320944445;1;1;1
113305.264;514;1069;0;0;0;25142.306709819833;1;1;1
113314.671;514;1065;0;0;0;19200.789755486374;1;1;1
113325.741;513;1059;0;0;0;15098.647301036903;1;1;1
113336.06;512;1055;0;0;0;12593.401344561391;1;1;1
113346.234;511;1051;0;0;0;10842.594268355062;1;1;1
113356.241;511;1046;0;0;0;9578.265000213016;1;1;1
113366.767;510;1043;0;0;0;8506.932928968083;1;1;1
113376.583;510;1040;0;0;0;7718.109251151879;1;1;1
113386.59;509;1037;0;0;0;7050.975774553533;1;1;1
113396.579;508;1034;0;0;0;6495.168859614769;1;1;1
113407.089;507;1031;0;0;0;6000.199024026628;1;1;1
113417.112;507;1027;0;0;0;5611.39199519518;1;1;1
113426.988;506;1022;0;0;0;5283.14515701712;1;1;1
113437.792;505;1017;0;0;0;4966.096735714279;1;1;1
113447.462;504;1012;0;0;0;4719.272487809351;1;1;1
113457.766;503;1009;0;0;0;4469.115651538309;1;1;1
113467.939;502;1005;0;0;0;4254.965916628771;1;1;1
113478.186;501;1001;0;0;0;4060.667717422755;1;1;1
113488.373;501;997;0;0;0;3888.8559417603;1;1;1
113497.707;500;993;0;0;0;3744.182537266333;1;1;1
113508.645;499;990;0;0;0;3581.048295220678;1;1;1
113518.834;498;986;0;0;0;3447.9007472292838;1;1;1
113528.621;496;981;0;0;0;3332.885119804986;1;1;1
113539.34;495;977;0;0;0;3212.6801697643145;1;1;1
113549.502;494;971;0;0;0;3116.390692892976;1;1;1
113559.66;492;964;0;0;0;3028.66780669615;1;1;1
113569.615;490;959;0;0;0;2941.1489316627253;1;1;1
113579.833;487;950;0;0;0;2869.288536856144;1;1;1
113589.828;483;941;0;0;0;2801.8379780940654;1;1;1
113599.814;481;934;0;0;0;2735.0492897755166;1;1;1
113609.774;478;926;0;0;0;2673.6797939421886;1;1;1
113620.321;475;918;0;0;0;2611.0832793342715;1;1;1
113630.655;472;913;0;0;0;2544.909635756163;1;1;1
113640.95;467;903;0;0;0;2493.489061483655;1;1;1
113650.664;461;892;0;0;0;2449.5526975427915;1;1;1
113661.299;456;882;0;0;0;2400.482368268921;1;1;1
113671.471;449;871;0;0;0;2356.3832386472473;1;1;1
113681.477;438;850;0;0;0;2332.881232177733;1;1;1
113691.886;420;816;0;0;0;2326.249202562282;1;1;1
113701.948;403;774;0;0;0;2334.4414644436774;1;1;1
113712.293;387;743;0;0;0;2318.37344397935;1;1;1
113722.36;375;712;0;0;0;2305.556718352313;1;1;1
113732.413;367;694;0;0;0;2275.306083968111;1;1;1
113742.041;355;661;0;0;0;2265.229061361046;1;1;1
113986.359;351;659;0;0;0;1486.1980412702746;1;1;1
113996.736;345;652;0;0;0;1468.0860911404836;1;1;1
114007.286;338;646;0;0;0;1448.852298667743;1;1;1
114016.631;331;639;0;0;0;1433.3189961821645;1;1;1
114027.481;323;631;0;0;0;1415.7131162420737;1;1;1
114037.315;315;622;0;0;0;1401.2340879006033;1;1;1
114047.483;309;615;0;0;0;1385.7516172521234;1;1;1
114057.947;301;606;0;0;0;1370.8589203714644;1;1;1
114068.005;288;592;0;0;0;1358.8088283874567;1;1;1
114078.279;277;580;0;0;0;1345.947371653067;1;1;1
114088.352;265;565;0;0;0;1335.327415123661;1;1;1
114098.639;258;555;0;0;0;1322.8484342311206;1;1;1
114108.883;250;547;0;0;0;1309.1991976636439;1;1;1
114118.908;243;538;0;0;0;1297.0604504025014;1;1;1
114129.163;238;531;0;0;0;1284.190947223193;1;1;1
114139.272;233;523;0;0;0;1272.3631215371288;1;1;1
114149.369;229;516;0;0;0;1260.4795048821422;1;1;1
114159.63;222;509;0;0;0;1247.9079679048953;1;1;1
114169.709;216;499;0;0;0;1237.6107504148317;1;1;1
114180.115;209;489;0;0;0;1226.8153276366656;1;1;1
114190.131;203;480;0;0;0;1216.4522801315202;1;1;1
114200.023;196;471;0;0;0;1206.2336184677258;1;1;1
114210.375;191;464;0;0;0;1195.0825190421126;1;1;1
114220.593;184;455;0;0;0;1184.8295891876414;1;1;1
114231.117;177;444;0;0;0;1175.214101314567;1;1;1
114240.948;170;431;0;0;0;1167.363957464408;1;1;1
114250.581;164;420;0;0;0;1159.1721910129304;1;1;1
114261.318;156;407;0;0;0;1150.2150156112946;1;1;1
114271.48;147;394;0;0;0;1141.8755085124176;1;1;1
114281.523;137;375;0;0;0;1135.6083566304994;1;1;1
114291.877;128;360;0;0;0;1127.7526744239653;1;1;1
