timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user
23880.394;-2356;1005;0;0;0;0;2;1
24342.924;-2356;1005;0;0;0;0;1;1
24342.924;-2355;1005;0;0;0;0;1;1
24342.924;-2354;1005;0;0;0;0;1;1
24358.897;-2351;1005;0;0;0;313.02823514681023;1;1
24362.953;-2347;1003;0;0;0;549.203654700684;1;1
24366.941;-2344;1002;0;0;0;624.5576050297706;1;1
24370.974;-2340;1000;0;0;0;748.6631016042782;1;1
24374.966;-2337;998;0;0;0;811.4349915735597;1;1
24379.124;-2335;997;0;0;0;801.1049723756905;1;1
24383.117;-2333;995;0;0;0;821.0384892891797;1;1
24387.184;-2328;993;0;0;0;903.750564844103;1;1
24391.171;-2326;990;0;0;0;932.7004787862459;1;1
24394.742;-2324;990;0;0;0;907.0207263885136;1;1
24398.728;-2320;988;0;0;0;949.7527058992187;1;1
24403.13;-2316;985;0;0;0;996.5784141115503;1;1
24407.122;-2310;982;0;0;0;1074.7998380011838;1;1
24411.123;-2304;978;0;0;0;1158.3747562280973;1;1
24415.102;-2297;975;0;0;0;1233.0627060877275;1;1
24419.091;-2288;972;0;0;0;1326.0335840981002;1;1
24423.08;-2280;969;0;0;0;1397.275313139378;1;1
24427.068;-2270;966;0;0;0;1485.548583380871;1;1
24431.059;-2261;961;0;0;0;1577.1259998865376;1;1
24435.048;-2251;958;0;0;0;1649.9500673005948;1;1
24439.036;-2241;954;0;0;0;1727.1516564008657;1;1
24443.027;-2231;948;0;0;0;1818.1273288512832;1;1
24447.015;-2220;944;0;0;0;1892.5747663102477;1;1
24451.005;-2209;939;0;0;0;1970.7441640991478;1;1
24454.994;-2197;934;0;0;0;2052.288748103864;1;1
24458.984;-2186;928;0;0;0;2128.209546786145;1;1
24463.006;-2175;924;0;0;0;2181.84240768808;1;1
24466.994;-2165;920;0;0;0;2224.550656887241;1;1
24470.951;-2154;915;0;0;0;2280.768900310091;1;1
24474.94;-2144;911;0;0;0;2317.9008605017575;1;1
24478.93;-2133;906;0;0;0;2367.542608414335;1;1
24482.951;-2123;902;0;0;0;2399.537232105237;1;1
24486.908;-2114;897;0;0;0;2430.825647294144;1;1
24490.929;-2105;892;0;0;0;2459.3763724198507;1;1
24494.92;-2097;888;0;0;0;2473.7493091923475;1;1
24498.906;-2089;883;0;0;0;2493.8774986857456;1;1
24502.922;-2081;879;0;0;0;2506.2813285166067;1;1
24506.531;-2072;873;0;0;0;2542.678491751575;1;1
24510.661;-2064;868;0;0;0;2557.5752517333685;1;1
24514.846;-2054;864;0;0;0;2576.7499214760182;1;1
24518.839;-2044;858;0;0;0;2609.214677543132;1;1
24522.911;-2034;853;0;0;0;2633.523532255107;1;1
24527.188;-2024;847;0;0;0;2659.228064081969;1;1
24531.224;-2014;842;0;0;0;2681.8906001062137;1;1
24535.172;-2002;836;0;0;0;2720.444425949815;1;1
24539.184;-1990;830;0;0;0;2756.5474370732704;1;1
24543.15;-1977;823;0;0;0;2801.8339276617426;1;1
24547.14;-1965;818;0;0;0;2830.336506444157;1;1
24551.132;-1952;812;0;0;0;2867.324982709598;1;1
24555.159;-1940;805;0;0;0;2902.4430466228473;1;1
24559.108;-1924;798;0;0;0;2955.8154164970583;1;1
24563.131;-1913;791;0;0;0;2983.5563810414747;1;1
24567.087;-1902;784;0;0;0;3011.201670213193;1;1
24571.111;-1891;778;0;0;0;3032.6004548900682;1;1
24575.065;-1880;771;0;0;0;3058.4860063495894;1;1
24579.055;-1868;763;0;0;0;3091.504292109041;1;1
24583.043;-1857;755;0;0;0;3119.286687017687;1;1
24587.064;-1847;748;0;0;0;3137.544032112722;1;1
24591.021;-1836;741;0;0;0;3160.0543335872662;1;1
24595.011;-1825;733;0;0;0;3185.4082122441855;1;1
24599.001;-1811;723;0;0;0;3229.497377741851;1;1
24602.99;-1797;713;0;0;0;3272.2462759453365;1;1
24606.979;-1783;703;0;0;0;3313.7035844805064;1;1
24610.968;-1772;695;0;0;0;3335.2733133366164;1;1
24614.958;-1759;686;0;0;0;3367.2261555540854;1;1
24618.977;-1745;678;0;0;0;3397.8982296877775;1;1
24622.935;-1734;670;0;0;0;3417.7228751727607;1;1
24626.925;-1723;662;0;0;0;3436.607617578811;1;1
24630.914;-1712;654;0;0;0;3454.981075731796;1;1
24634.932;-1700;645;0;0;0;3479.3567299526044;1;1
24638.92;-1688;636;0;0;0;3503.425721969216;1;1
24642.882;-1677;626;0;0;0;3527.160469132345;1;1
24646.908;-1667;617;0;0;0;3542.9496289278386;1;1
24650.861;-1655;608;0;0;0;3565.66440538162;1;1
24654.85;-1641;598;0;0;0;3597.006982425319;1;1
24658.839;-1629;588;0;0;0;3621.2272288432014;1;1
24662.829;-1615;578;0;0;0;3651.083915537425;1;1
24666.819;-1602;569;0;0;0;3674.0301640963894;1;1
24670.808;-1588;561;0;0;0;3696.4292249698065;1;1
24674.797;-1577;553;0;0;0;3709.2502252367626;1;1
24678.786;-1565;545;0;0;0;3724.744091323222;1;1
24682.794;-1554;538;0;0;0;3733.780563156501;1;1
24686.975;-1543;532;0;0;0;3737.8179397821837;1;1
24690.961;-1530;525;0;0;0;3752.4745932185374;1;1
24695.041;-1519;518;0;0;0;3760.113825802219;1;1
24699.035;-1508;510;0;0;0;3771.2960284855003;1;1
24703.138;-1497;505;0;0;0;3772.75730537958;1;1
24707.101;-1488;499;0;0;0;3772.8906548189484;1;1
24711.097;-1478;494;0;0;0;3772.682950678078;1;1
24715.026;-1470;487;0;0;0;3773.1589725397876;1;1
24719.029;-1461;483;0;0;0;3767.5649087355923;1;1
24723.08;-1453;478;0;0;0;3761.6136533423123;1;1
24727.029;-1444;472;0;0;0;3761.992163601099;1;1
24731.064;-1437;468;0;0;0;3751.2237852321327;1;1
24735.109;-1430;464;0;0;0;3740.581613269248;1;1
24739.097;-1422;459;0;0;0;3735.741708798934;1;1
24743.091;-1416;456;0;0;0;3720.9465048342317;1;1
24747.08;-1409;452;0;0;0;3711.4381575431266;1;1
24751.07;-1402;448;0;0;0;3702.1065991091423;1;1
24755.082;-1396;444;0;0;0;3690.3323482742053;1;1
24759.047;-1390;439;0;0;0;3681.6037565815873;1;1
24763.037;-1385;437;0;0;0;3663.3001121126936;1;1
24767.055;-1381;434;0;0;0;3645.100216678338;1;1
24771.017;-1377;430;0;0;0;3630.0523484383066;1;1
24775.032;-1373;428;0;0;0;3610.2085589713683;1;1
24779.008;-1372;426;0;0;0;3584.171856798231;1;1
24782.984;-1369;423;0;0;0;3565.4228968776983;1;1
24786.973;-1367;421;0;0;0;3542.4018520478594;1;1
24790.963;-1365;418;0;0;0;3522.0148246023223;1;1
24794.952;-1363;417;0;0;0;3497.570946932491;1;1
24798.941;-1361;415;0;0;0;3475.74761467226;1;1
24802.93;-1360;413;0;0;0;3452.128885275409;1;1
24806.921;-1358;412;0;0;0;3428.9014799664656;1;1
24810.909;-1356;408;0;0;0;3412.502537474492;1;1
24814.899;-1355;408;0;0;0;3385.7725515122625;1;1
24818.887;-1353;405;0;0;0;3367.908850057672;1;1
24822.877;-1350;402;0;0;0;3352.4115903015504;1;1
24826.867;-1346;397;0;0;0;3343.3689504755725;1;1
24842.823;-1343;393;0;0;0;3250.6566326397933;1;1
24843.822;-1337;385;0;0;0;3272.123266613163;1;1
24846.813;-1334;383;0;0;0;3262.6233158493237;1;1
24862.77;-1323;369;0;0;0;3210.566206145666;1;1
24866.769;-1320;365;0;0;0;3199.4196756674205;1;1
24870.749;-1318;363;0;0;0;3182.873111353195;1;1
24874.738;-1316;361;0;0;0;3166.52062563227;1;1
24878.728;-1313;358;0;0;0;3154.138453613635;1;1
24882.716;-1310;355;0;0;0;3141.9509737083913;1;1
24886.707;-1308;353;0;0;0;3126.2470507537014;1;1
24890.697;-1305;351;0;0;0;3112.6032133748836;1;1
24894.685;-1303;351;0;0;0;3093.7308001109177;1;1
24898.675;-1298;350;0;0;0;3082.3156413573706;1;1
24902.664;-1289;349;0;0;0;3078.2148854825455;1;1
24906.653;-1277;348;0;0;0;3079.493870281642;1;1
24910.644;-1263;348;0;0;0;3082.505460438244;1;1
24914.631;-1244;347;0;0;0;3095.9914781522707;1;1
24918.622;-1217;345;0;0;0;3124.902292521426;1;1
24922.612;-1188;342;0;0;0;3158.5956583541492;1;1
24926.6;-1157;337;0;0;0;3198.692425249625;1;1
24930.588;-1128;332;0;0;0;3234.841678237905;1;1
24934.578;-1104;326;0;0;0;3263.7318432732645;1;1
24938.567;-1084;321;0;0;0;3283.8461964633175;1;1
24942.556;-1070;316;0;0;0;3293.6867945673343;1;1
24946.546;-1061;312;0;0;0;3293.451862258168;1;1
24950.536;-1052;306;0;0;0;3296.5115896328575;1;1
24954.525;-1043;301;0;0;0;3297.901736589705;1;1
24958.515;-1036;296;0;0;0;3296.019597427513;1;1
24963.047;-1029;290;0;0;0;3292.8951191940955;1;1
24967.068;-1021;285;0;0;0;3292.5094209028684;1;1
24970.772;-1014;279;0;0;0;3293.790853837235;1;1
24975.068;-1005;272;0;0;0;3296.7172036751117;1;1
24978.82;-994;264;0;0;0;3307.144564519984;1;1
24982.818;-983;256;0;0;0;3316.1742413587253;1;1
24986.803;-972;250;0;0;0;3322.052745935184;1;1
24991.28;-959;241;0;0;0;3333.0454256612106;1;1
24995.335;-946;234;0;0;0;3342.984713623774;1;1
24999.324;-930;225;0;0;0;3360.7556368068254;1;1
25003.312;-911;215;0;0;0;3384.374034658413;1;1
25007.302;-893;205;0;0;0;3406.19346215558;1;1
25011.29;-877;196;0;0;0;3423.274074384394;1;1
25015.278;-859;186;0;0;0;3444.613997983205;1;1
25019.268;-841;176;0;0;0;3465.692014714406;1;1
25022.259;-825;169;0;0;0;3484.28978339111;1;1
25027.246;-807;159;0;0;0;3499.814414851488;1;1
25044.2;-789;149;0;0;0;3455.1303623680265;1;1
25045.197;-746;124;0;0;0;3547.0536386846707;1;1
25047.192;-736;118;0;0;0;3559.724423088938;1;1
25051.183;-728;111;0;0;0;3560.844267421946;1;1
25055.171;-719;103;0;0;0;3564.774579605109;1;1
25059.159;-711;97;0;0;0;3564.4725543990453;1;1
25063.149;-707;91;0;0;0;3558.610156548301;1;1
25067.139;-703;85;0;0;0;3552.812355446932;1;1
25071.13;-701;79;0;0;0;3544.3267427074206;1;1
25075.117;-701;74;0;0;0;3531.855671933493;1;1
25079.106;-700;68;0;0;0;3522.226840645384;1;1
25083.1;-700;64;0;0;0;3508.62497568146;1;1
25087.092;-700;58;0;0;0;3497.8660732522762;1;1
25091.074;-700;53;0;0;0;3485.931965514937;1;1
25095.074;-700;48;0;0;0;3474.041082230938;1;1
25099.053;-700;44;0;0;0;3461.0496357103084;1;1
25103.043;-700;38;0;0;0;3450.77547068288;1;1
25107.032;-700;32;0;0;0;3440.613107047695;1;1
25111.02;-703;26;0;0;0;3426.655001458151;1;1
25115.014;-706;22;0;0;0;3410.224196661011;1;1
25119.0;-709;17;0;0;0;3395.286028687912;1;1
25122.99;-713;11;0;0;0;3380.483189883933;1;1
25126.977;-717;5;0;0;0;3365.843890655351;1;1
25130.967;-720;0;0;0;0;3351.339964951151;1;1
25135.041;-724;-6;0;0;0;3321.479023932071;1;1
25139.041;-729;-12;0;0;0;3290.9735629310767;1;1
25143.043;-734;-18;0;0;0;3260.7649612120194;1;1
25146.559;-740;-24;0;0;0;3231.5665694002873;1;1
25165.485;-747;-30;0;0;0;3141.408357556461;1;1
25167.478;-767;-47;0;0;0;3088.9426283784933;1;1
25168.484;-776;-51;0;0;0;3069.431658510587;1;1
25171.469;-784;-54;0;0;0;3045.0971280980516;1;1
25175.47;-794;-58;0;0;0;3013.6472939633363;1;1
25179.448;-804;-60;0;0;0;2984.9711424896354;1;1
25183.438;-814;-62;0;0;0;2956.5242220831537;1;1
25186.47;-824;-61;0;0;0;2935.2281914679224;1;1
25191.414;-833;-62;0;0;0;2906.3394972244814;1;1
25195.405;-843;-61;0;0;0;2882.1756731235064;1;1
25199.393;-852;-61;0;0;0;2858.2470585625397;1;1
25203.383;-862;-61;0;0;0;2833.3714912622218;1;1
25207.37;-870;-61;0;0;0;2811.0489261330376;1;1
25211.039;-877;-61;0;0;0;2791.1048651388355;1;1
25215.388;-884;-60;0;0;0;2770.314878321627;1;1
25219.376;-890;-61;0;0;0;2749.72274579783;1;1
25223.367;-895;-61;0;0;0;2731.5794435301323;1;1
25226.357;-899;-61;0;0;0;2717.8065569205587;1;1
25230.346;-903;-61;0;0;0;2701.0824613318127;1;1
25234.337;-908;-61;0;0;0;2683.3802064811707;1;1
25239.324;-911;-61;0;0;0;2665.1048639000446;1;1
