timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user;programm
73426.658;507;994;0;0;0;0;1;1;2
73436.467;508;987;0;0;0;74147.2232312638;1;1;2
73446.546;510;976;0;0;0;37378.155424604105;1;1;2
73457.182;511;961;0;0;0;25007.799240988083;1;1;2
73467.245;514;933;0;0;0;19692.134018226334;1;1;2
73477.497;516;905;0;0;0;16366.476260835832;1;1;2
73487.614;517;877;0;0;0;14143.26040822233;1;1;2
73497.704;517;858;0;0;0;12400.808052088927;1;1;2
73508.218;517;820;0;0;0;11237.137747897776;1;1;2
73518.005;517;805;0;0;0;10177.714826377738;1;1;2
73528.018;517;792;0;0;0;9281.796059936298;1;1;2
73538.075;517;780;0;0;0;8533.48656820146;1;1;2
73548.974;516;769;0;0;0;7841.622346096823;1;1;2
73558.986;515;760;0;0;0;7298.297590447128;1;1;2
73568.83;511;749;0;0;0;6838.312323565348;1;1;2
73578.412;506;735;0;0;0;6459.487252787165;1;1;2
73589.074;498;717;0;0;0;6092.037043623306;1;1;2
73599.165;488;697;0;0;0;5789.383427193805;1;1;2
73609.376;475;673;0;0;0;5521.357102229251;1;1;2
73619.675;460;646;0;0;0;5281.88958783203;1;1;2
73629.399;449;628;0;0;0;5059.744810373224;1;1;2
73639.971;441;616;0;0;0;4826.787084871933;1;1;2
73649.417;434;605;0;0;0;4638.009080395069;1;1;2
73660.357;430;602;0;0;0;4421.234638969087;1;1;2
73903.97;427;597;0;0;0;2168.1703253835008;1;1;2
73913.928;421;588;0;0;0;2129.3834944449045;1;1;2
73924.023;414;577;0;0;0;2092.905689989871;1;1;2
73934.0;405;553;0;0;0;2070.36152992794;1;1;2
73943.639;387;509;0;0;0;2061.442321400965;1;1;2
73954.64;370;467;0;0;0;2043.3274579519937;1;1;2
73964.174;350;415;0;0;0;2034.0328533881866;1;1;2
73974.839;327;355;0;0;0;2019.8508805955457;1;1;2
73984.467;303;305;0;0;0;1999.4097475096248;1;1;2
73994.592;273;239;0;0;0;1978.4114663830258;1;1;2
74005.141;255;182;0;0;0;1953.450753879789;1;1;2
74015.53;235;132;0;0;0;1923.4155735585227;1;1;2
74025.974;223;94;0;0;0;1892.173244390071;1;1;2
74035.673;217;77;0;0;0;1862.2323224972497;1;1;2
74045.957;214;65;0;0;0;1831.6008906602956;1;1;2
74056.046;210;56;0;0;0;1801.8154215677123;1;1;2
74066.839;208;48;0;0;0;1771.435329920176;1;1;2
74076.319;203;40;0;0;0;1744.6690289632797;1;1;2
74085.299;202;35;0;0;0;1720.8618836961177;1;1;2
74279.733;200;35;0;0;0;1328.2249050301925;1;1;2
74289.909;199;34;0;0;0;1312.3990938101554;1;1;2
74300.36;197;34;0;0;0;1296.300386153428;1;1;2
74310.369;193;32;0;0;0;1280.9047816799346;1;1;2
74320.437;186;31;0;0;0;1265.1953368577867;1;1;2
74330.541;180;29;0;0;0;1250.036475943989;1;1;2
74340.782;173;29;0;0;0;1234.8354467304835;1;1;2
74350.838;166;28;0;0;0;1220.2886629401064;1;1;2
74361.123;158;27;0;0;0;1205.653529398368;1;1;2
74371.231;147;25;0;0;0;1191.2232469375097;1;1;2
74381.527;139;24;0;0;0;1177.336303885728;1;1;2
74391.343;132;24;0;0;0;1164.4815796747753;1;1;2
74401.691;126;23;0;0;0;1151.437569431342;1;1;2
74412.048;121;23;0;0;0;1138.7770064614122;1;1;2
74421.678;116;23;0;0;0;1127.22492099071;1;1;2
74432.193;113;23;0;0;0;1115.1327832865343;1;1;2
74442.359;110;23;0;0;0;1103.6778445969687;1;1;2
74452.509;107;22;0;0;0;1092.4942950529075;1;1;2
74462.496;105;22;0;0;0;1081.7784129964414;1;1;2
74472.879;103;22;0;0;0;1070.8650933089846;1;1;2
74482.9;101;22;0;0;0;1060.5329554303853;1;1;2
74493.178;98;21;0;0;0;1050.0807681069246;1;1;2
74503.186;96;21;0;0;0;1040.1577131495444;1;1;2
74513.332;93;20;0;0;0;1030.2298628617277;1;1;2
74523.324;91;19;0;0;0;1020.709184841826;1;1;2
74533.693;88;18;0;0;0;1010.9469873246991;1;1;2
74543.701;86;16;0;0;0;1001.7775471456092;1;1;2
