timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user;programm
20783.544;1162;384;0;0;0;0;1;2;2
20786.785;1161;384;0;0;0;506821.72320062923;1;2;2
20786.939;1156;386;0;0;0;482653.65724179376;1;2;2
20788.989;1122;409;0;0;0;295524.5421503809;1;2;2
20790.186;1107;419;0;0;0;240306.61504045723;1;2;2
20791.884;1096;427;0;0;0;190212.8811094936;1;2;2
20797.83;1062;449;0;0;0;108980.94155137587;1;2;2
20799.479;1056;453;0;0;0;97373.89328877446;1;2;2
20805.896;1053;455;0;0;0;69301.48493408575;1;2;2
20813.909;1043;461;0;0;0;50731.55167439031;1;2;2
20821.996;1032;467;0;0;0;39821.59840187581;1;2;2
20830.013;1026;472;0;0;0;32831.452833576186;1;2;2
20838.018;1015;478;0;0;0;27836.964070356476;1;2;2
20845.996;1009;481;0;0;0;24201.46331036599;1;2;2
20854.142;1004;485;0;0;0;21343.591214973574;1;2;2
20862.139;993;490;0;0;0;19058.228945754236;1;2;2
20866.166;979;498;0;0;0;17985.284160584906;1;2;2
20874.228;965;507;0;0;0;16251.252752354134;1;2;2
20883.005;949;517;0;0;0;14677.09570834946;1;2;2
20891.124;931;530;0;0;0;13417.4989483764;1;2;2
20895.038;927;533;0;0;0;12913.437629784887;1;2;2
20902.725;908;547;0;0;0;11934.00144165407;1;2;2
20909.983;890;560;0;0;0;11118.197773342243;1;2;2
20922.019;872;573;0;0;0;10031.819597161648;1;2;2
20930.217;860;578;0;0;0;9405.759395355668;1;2;2
20940.847;837;592;0;0;0;8641.538389860936;1;2;2
20940.847;823;599;0;0;0;8567.38291713448;1;2;2
20948.309;809;604;0;0;0;8114.124405191295;1;2;2
20957.055;779;619;0;0;0;7561.559321544247;1;2;2
20965.17;771;622;0;0;0;7189.801528404961;1;2;2
20973.165;740;639;0;0;0;6747.379253704157;1;2;2
20981.166;724;647;0;0;0;6407.190498335823;1;2;2
20984.64;707;658;0;0;0;6220.08255740082;1;2;2
20993.055;687;672;0;0;0;5880.8650656596765;1;2;2
21001.084;679;677;0;0;0;5630.74863537386;1;2;2
21009.087;663;687;0;0;0;5367.028753740551;1;2;2
21017.093;626;711;0;0;0;5037.309811034381;1;2;2
21025.207;620;716;0;0;0;4842.414666458461;1;2;2
21038.187;604;725;0;0;0;4540.6314997232075;1;2;2
21038.187;592;732;0;0;0;4498.745663088365;1;2;2
21045.683;579;738;0;0;0;4329.884975598819;1;2;2
21053.783;567;745;0;0;0;4160.578151805024;1;2;2
21062.382;561;749;0;0;0;4011.8952646539337;1;2;2
21066.883;549;756;0;0;0;3910.3523482790947;1;2;2
21074.906;538;764;0;0;0;3765.136756365053;1;2;2
21082.901;534;768;0;0;0;3648.687160472682;1;2;2
21090.981;524;778;0;0;0;3513.8062084482144;1;2;2
21100.11;515;789;0;0;0;3373.3786912632445;1;2;2
21108.241;505;798;0;0;0;3253.4073927909776;1;2;2
21117.864;503;801;0;0;0;3150.1015964905264;1;2;2
21125.49;501;803;0;0;0;3072.5981530606005;1;2;2
21133.497;496;807;0;0;0;2986.7195362186267;1;2;2
21141.532;495;809;0;0;0;2914.034382259565;1;2;2
21141.532;493;810;0;0;0;2909.217163088725;1;2;2
