Asc_time; x; y; button; dx; dy; pace; Action
2021-07-06 16:24:25.459659; -2157; 716;;  ;  ; ; moved
2021-07-06 16:24:25.463071; -2157; 716;;  ;  ; 0.0; moved
2021-07-06 16:24:25.467070; -2144; 708;;  ;  ; 2833.6256915396034; moved
2021-07-06 16:24:25.471059; -2136; 702;;  ;  ; 3070.175438596491; moved
2021-07-06 16:24:25.475676; -2135; 702;;  ;  ; 2247.6119123431354; moved
2021-07-06 16:24:25.479799; -2134; 702;;  ;  ; 1837.140019860973; moved
2021-07-06 16:24:25.563682; -2134; 701;;  ;  ; 365.30382703825114; moved
2021-07-06 16:24:25.571678; -2135; 701;;  ;  ; 330.30110963318725; moved
2021-07-06 16:24:25.575777; -2137; 700;;  ;  ; 310.0294527980158; moved
2021-07-06 16:24:25.579343; -2139; 700;;  ;  ; 284.0814143912302; moved
2021-07-06 16:24:25.583044; -2139; 699;;  ;  ; 283.6649511691048; moved
2021-07-06 16:24:25.586953; -2143; 698;;  ;  ; 251.386553961695; moved
2021-07-06 16:24:25.591071; -2145; 698;;  ;  ; 228.28965391288466; moved
2021-07-06 16:24:25.595109; -2148; 696;;  ;  ; 214.1011443337025; moved
2021-07-06 16:24:25.599056; -2151; 696;;  ;  ; 186.51764385173283; moved
2021-07-06 16:24:25.602916; -2154; 694;;  ;  ; 174.5115421934007; moved
2021-07-06 16:24:25.607316; -2156; 694;;  ;  ; 155.76640457275982; moved
2021-07-06 16:24:25.611289; -2157; 692;;  ;  ; 158.28002374200358; moved
2021-07-06 16:24:25.615172; -2157; 692;;  ;  ; 154.3279339990869; moved
2021-07-06 16:24:25.619726; -2157; 691;;  ;  ; 156.18459769971327; moved
2021-07-06 16:24:25.623807; -2156; 689;;  ;  ; 170.57777127957698; moved
2021-07-06 16:24:25.627722; -2155; 688;;  ;  ; 178.5044893879081; moved
2021-07-06 16:24:25.631638; -2152; 686;;  ;  ; 203.5132196372813; moved
2021-07-06 16:24:25.635804; -2151; 685;;  ;  ; 210.05421669647166; moved
2021-07-06 16:24:25.639836; -2149; 684;;  ;  ; 222.0039183691592; moved
2021-07-06 16:24:25.643766; -2146; 682;;  ;  ; 244.42308005670617; moved
2021-07-06 16:24:25.647720; -2140; 679;;  ;  ; 287.1408745034856; moved
2021-07-06 16:24:25.651804; -2134; 678;;  ;  ; 317.46857841734106; moved
2021-07-06 16:24:25.655758; -2126; 674;;  ;  ; 372.26094982636323; moved
2021-07-06 16:24:25.659805; -2116; 671;;  ;  ; 429.68632897984475; moved
2021-07-06 16:24:25.663589; -2105; 668;;  ;  ; 490.36434070514395; moved
2021-07-06 16:24:25.667740; -2093; 665;;  ;  ; 552.6693931690063; moved
2021-07-06 16:24:25.671721; -2082; 662;;  ;  ; 608.3126632777206; moved
2021-07-06 16:24:25.675801; -2070; 660;;  ;  ; 661.602094919081; moved
2021-07-06 16:24:25.679490; -2059; 657;;  ;  ; 714.1849875586246; moved
2021-07-06 16:24:25.683804; -2048; 656;;  ;  ; 753.9762207499609; moved
2021-07-06 16:24:25.687713; -2039; 654;;  ;  ; 789.2867478755031; moved
2021-07-06 16:24:25.691805; -2029; 652;;  ;  ; 827.0657258794035; moved
2021-07-06 16:24:25.695722; -2021; 651;;  ;  ; 851.4676166955431; moved
2021-07-06 16:24:25.699804; -2013; 650;;  ;  ; 874.4716733640092; moved
2021-07-06 16:24:25.703720; -2005; 649;;  ;  ; 897.3166544429466; moved
2021-07-06 16:24:25.707800; -1996; 646;;  ;  ; 930.9223385091541; moved
2021-07-06 16:24:25.711803; -1987; 644;;  ;  ; 959.7690208769593; moved
